px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.066	-4.61365	-2.65939	-2.36269	0.274459	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.74276
10.1652	-4.50009	-2.66325	-2.34122	0.280358	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.154598
10.2516	-4.37007	-2.66544	-2.29479	0.327081	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.18023
10.3487	-4.24366	-2.67777	-2.26932	0.333673	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.354242
10.4733	-4.15024	-2.69075	-2.29713	0.257752	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	3.13272
10.5659	-4.02336	-2.69896	-2.27398	0.265652	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.355966
10.6653	-3.90562	-2.70585	-2.26133	0.260805	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.145464
10.759	-3.78385	-2.71091	-2.24398	0.263392	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.0610067
10.8067	-3.63143	-2.70113	-2.15768	0.380349	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	6.86
10.8823	-3.49934	-2.70394	-2.13151	0.385031	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.121996
10.9901	-3.40356	-2.71485	-2.16978	0.287191	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	5.24532
11.0614	-3.26972	-2.73012	-2.14512	0.295809	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0.696801
